ed_name,county,all_irish_speakers,never_speaks_irish_outside_education_only,not_stated,speaks_irish_daily,speaks_irish_daily_education_only,speaks_irish_less_often,speaks_irish_weekly,share_daily_of_all,share_daily_education_only_of_all,share_weekly_of_all,share_less_often_of_all,share_never_outside_education_only_of_all,share_not_stated_of_all,share_daily_any_of_all
Ardfert,Kerry,394,93,10,7,146,122,16,0.017766497461928935,0.37055837563451777,0.04060913705583756,0.3096446700507614,0.23604060913705585,0.025380710659898477,0.3883248730964467
Ardfield,Cork County,450,116,15,21,120,152,26,0.04666666666666667,0.26666666666666666,0.057777777777777775,0.3377777777777778,0.2577777777777778,0.03333333333333333,0.31333333333333335
Ardfinnan,Tipperary,413,114,7,10,122,145,15,0.024213075060532687,0.29539951573849876,0.03631961259079903,0.35108958837772397,0.27602905569007263,0.01694915254237288,0.3196125907990315
Ardmalin,Donegal,246,62,2,3,102,69,8,0.012195121951219513,0.4146341463414634,0.032520325203252036,0.2804878048780488,0.25203252032520324,0.008130081300813009,0.4268292682926829
Ardmayle,Tipperary,264,85,9,0,75,84,11,0.0,0.2840909090909091,0.041666666666666664,0.3181818181818182,0.32196969696969696,0.03409090909090909,0.2840909090909091
Ardmore,"Waterford, 227003",338,85,11,19,73,126,24,0.05621301775147929,0.21597633136094674,0.07100591715976332,0.3727810650887574,0.2514792899408284,0.03254437869822485,0.27218934911242604
Ardmulchan,Meath,454,116,8,12,128,146,44,0.02643171806167401,0.28193832599118945,0.09691629955947137,0.32158590308370044,0.2555066079295154,0.01762114537444934,0.30837004405286345
Ardnaglew,Westmeath,156,40,4,3,57,39,13,0.019230769230769232,0.36538461538461536,0.08333333333333333,0.25,0.2564102564102564,0.02564102564102564,0.38461538461538464
Ardnagragh,Westmeath,204,55,8,1,60,70,10,0.004901960784313725,0.29411764705882354,0.049019607843137254,0.3431372549019608,0.2696078431372549,0.0392156862745098,0.29901960784313725
Ardnamullan,Meath,300,84,9,7,86,95,19,0.023333333333333334,0.2866666666666667,0.06333333333333334,0.31666666666666665,0.28,0.03,0.31
Ardnaree North,Mayo,486,121,10,6,151,174,24,0.012345679012345678,0.31069958847736623,0.04938271604938271,0.35802469135802467,0.24897119341563786,0.0205761316872428,0.3230452674897119
Ardnaree South Rural,Mayo,1315,325,35,35,442,400,78,0.026615969581749048,0.3361216730038023,0.05931558935361217,0.3041825095057034,0.24714828897338403,0.026615969581749048,0.36273764258555136
Ardnaree South Urban,Mayo,714,188,17,15,175,270,49,0.02100840336134454,0.24509803921568626,0.06862745098039216,0.37815126050420167,0.26330532212885155,0.023809523809523808,0.2661064425770308
Ardough,Laois,162,50,7,2,43,50,10,0.012345679012345678,0.2654320987654321,0.06172839506172839,0.30864197530864196,0.30864197530864196,0.043209876543209874,0.2777777777777778
